case_id,dataset_name,feature_policy,complete,missing_fields,invalid_fields,forbidden_features,readiness_status,evidence_stratum,eligible_for_real_api,diagnostic_category,evidence_notes
hrdataset_v14_department_free_12,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_84,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_46,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_96,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_267,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_169,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_143,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_283,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_19,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_208,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_53,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_262,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_106,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_263,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_103,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_274,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_215,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_296,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_5,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_95,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_65,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_289,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_188,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_195,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_257,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_137,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_74,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_191,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_67,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_61,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_201,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
hrdataset_v14_department_free_90,hrdataset_v14,department_free,True,[],[],{},complete_case_evidence,complete_case_evidence,True,complete_case_evidence,canonical offline manuscript evidence
