run_id,config_hash,policy,feature,mean_abs_grouped_shap,control_type,sensitive_or_proxy,leakage_risk,allowed_for_final_model,governance_notes,rank,class_label
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,ExperienceYearsAtThisCompany,0.061795845844584016,immutable,possible_proxy,none,True,Tenure can proxy age and internal opportunity.,11,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,OverTime,0.06004450731745843,manager_controllable,possible_proxy,medium,True,May reflect staffing/manager assignment rather than employee choice.,12,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,TrainingTimesLastYear,0.058695991048007275,employee_controllable,not_sensitive,low,True,Partly employee-controllable but often organisation-mediated.,13,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EducationBackground,0.057147286157657316,immutable,possible_proxy,low,True,May encode social or demographic proxy effects; audit subgroup and proxy behavior.,14,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,NumCompaniesWorked,0.04791846708130227,immutable,possible_proxy,none,True,"Work history can proxy age, opportunity, or labor-market history.",15,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpRelationshipSatisfaction,0.04483374181043473,manager_controllable,not_sensitive,medium,True,Potentially concurrent survey measure; use non-causal interpretation.,16,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpWorkLifeBalance,0.03316535153701504,manager_controllable,possible_proxy,medium,True,Often shaped by manager/team constraints; avoid employee-blaming recommendations.,17,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpJobInvolvement,0.030251890612550292,employee_controllable,not_sensitive,medium,True,Potentially actionable but may be self-report or manager-rated; do not treat causally.,18,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpJobLevel,0.028167488099158314,organisation_controllable,possible_proxy,low,True,Seniority/level may encode historical opportunity and organisational structure.,19,3
manuscript_final_20260712T181754Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpEducationLevel,0.02491604573770625,employee_controllable,possible_proxy,none,True,Partly employee-controllable over long horizons; not a short-term prescription.,20,3
