run_id,config_hash,policy,feature,mean_abs_grouped_shap,control_type,sensitive_or_proxy,leakage_risk,allowed_for_final_model,governance_notes,rank
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,ExperienceYearsAtThisCompany,0.07159823732812381,immutable,possible_proxy,none,True,Tenure can proxy age and internal opportunity.,11
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,BusinessTravelFrequency,0.06556904982458542,organisation_controllable,possible_proxy,low,True,Assignment/travel pattern may reflect role or organisational constraints.,12
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,TrainingTimesLastYear,0.061903154297609335,employee_controllable,not_sensitive,low,True,Partly employee-controllable but often organisation-mediated.,13
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EducationBackground,0.05714631185375361,immutable,possible_proxy,low,True,May encode social or demographic proxy effects; audit subgroup and proxy behavior.,14
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,NumCompaniesWorked,0.056260081406487895,immutable,possible_proxy,none,True,"Work history can proxy age, opportunity, or labor-market history.",15
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpRelationshipSatisfaction,0.052180697991538585,manager_controllable,not_sensitive,medium,True,Potentially concurrent survey measure; use non-causal interpretation.,16
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpJobLevel,0.05145223660077035,organisation_controllable,possible_proxy,low,True,Seniority/level may encode historical opportunity and organisational structure.,17
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpEducationLevel,0.04665451048044108,employee_controllable,possible_proxy,none,True,Partly employee-controllable over long horizons; not a short-term prescription.,18
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,OverTime,0.03540354826035885,manager_controllable,possible_proxy,medium,True,May reflect staffing/manager assignment rather than employee choice.,19
manuscript_final_20260712T175251Z_c664ef152ff3,c664ef152ff3a9eef89c53a403b9c2e6f677340bea0307b02d97d07cc54bdfc3,no_salary_hike_no_attrition_no_department,EmpJobInvolvement,0.03212701723363959,employee_controllable,not_sensitive,medium,True,Potentially actionable but may be self-report or manager-rated; do not treat causally.,20
